College_ID,IQ,Prev_Sem_Result,CGPA,Academic_Performance,Internship_Experience,Extra_Curricular_Score,Communication_Skills,Projects_Completed,Placement,Salary
CLG0094,93,5.61,5.16,1,Yes,7,2,1,No,441022.6476132068
CLG0089,115,5.56,5.14,10,Yes,6,3,0,No,479952.59221170994
CLG0016,105,5.36,5.11,10,No,2,8,0,No,446893.55881732283
CLG0076,73,8.72,8.48,10,Yes,0,5,5,No,575913.4549734772
CLG0014,104,8.56,8.15,7,No,9,8,4,Yes,629021.7436829199
CLG0047,94,5.29,5.18,7,Yes,3,10,5,No,447961.6822461448
CLG0054,89,7.8,7.89,1,Yes,3,4,1,No,568297.4545006938
CLG0058,109,5.42,5.5,10,No,10,4,1,No,489079.7384636217
CLG0077,115,9.52,9.56,5,No,4,6,3,Yes,694836.9994538929
CLG0030,113,9.54,9.38,3,No,2,10,3,Yes,685159.2248888857
CLG0100,87,8.49,8.7,2,No,10,5,3,No,602582.3643074137
CLG0046,95,9.63,9.96,5,No,1,5,3,No,685934.6585771283
CLG0016,104,9.06,8.91,5,No,1,9,4,Yes,651757.3365867053
CLG0001,114,9.14,8.73,2,Yes,7,6,2,Yes,654657.7448937504
CLG0041,92,7.85,7.65,6,No,6,3,3,No,563153.3571690314
CLG0093,97,6.53,6.17,7,No,0,4,3,No,487633.50679831614
CLG0027,83,6.09,6.06,1,No,8,9,0,No,468661.00196737394
CLG0077,82,6.64,6.3,3,No,2,6,5,No,468907.38196127873
CLG0062,112,8.14,8.1,4,No,2,8,1,Yes,624307.7156930125
CLG0081,120,5.86,5.58,2,No,0,7,4,No,518055.1406152978
CLG0028,98,6.29,6.53,10,Yes,10,1,1,No,524091.08372015925
CLG0020,115,7.34,6.87,5,Yes,3,1,2,No,572873.5344917878
CLG0055,105,6.17,6.22,4,No,9,10,4,No,507314.90389371733
CLG0051,90,7.94,7.61,2,No,10,7,2,No,565207.0334174082
CLG0069,105,9.62,9.12,1,Yes,1,2,1,No,663394.6589907362
CLG0088,123,8.74,9.11,8,No,2,9,0,Yes,709723.3629704937
CLG0073,99,8.33,8.5,2,No,10,10,3,Yes,634729.8238402215
CLG0097,123,7.91,7.51,4,No,0,9,1,No,640880.9981296113
CLG0034,60,7.44,7.6,10,Yes,2,2,4,No,497121.49209998717
CLG0027,112,5.93,6.04,5,No,3,9,3,Yes,523749.7800633383
CLG0097,101,9.47,9.44,2,No,5,9,4,Yes,668818.7505326716
CLG0038,95,6.24,6.16,10,No,2,10,2,No,483847.63798082486
CLG0029,101,5.46,5.85,9,Yes,10,6,4,No,504900.9225107893
CLG0035,70,8.75,8.5,2,No,5,5,0,No,577563.4642102873
CLG0020,96,5.88,5.78,6,No,1,10,2,No,481725.50612863124
CLG0019,105,6.86,6.69,7,No,10,2,5,No,537810.579868598
CLG0005,122,5.14,5.41,6,No,7,6,5,No,514935.3302580872
CLG0025,92,5.69,6.11,4,No,4,9,1,No,473785.1638923555
CLG0093,87,5.87,6.22,1,No,0,3,3,No,490538.89763154637
CLG0026,92,5.27,5.57,2,No,5,3,3,No,471113.82846977306
CLG0051,113,8.28,8.77,10,No,2,4,0,No,670807.3934625133
CLG0066,104,9.19,9.39,10,Yes,3,10,4,Yes,673907.6693983561
CLG0061,92,6.87,7.12,6,No,9,4,1,No,540069.893845265
CLG0015,107,9.37,9.85,8,Yes,7,1,5,No,717711.9581988147
CLG0045,101,6.07,5.58,3,Yes,7,2,4,No,470500.00561234035
CLG0006,114,6.63,6.76,7,No,10,6,5,No,571543.3007487332
CLG0058,89,5.75,5.99,9,No,7,5,4,No,486023.7507667651
CLG0001,95,8.1,8.52,4,Yes,4,10,0,No,616115.5658611731
CLG0073,94,7.1,7.48,7,No,0,4,5,No,568297.2345947258
CLG0043,78,8.07,8.41,7,No,8,10,2,Yes,585447.5048800053
CLG0016,104,8.81,9.26,10,No,10,9,5,Yes,664272.9942669374
CLG0014,103,7.73,7.77,9,Yes,8,2,2,No,593868.9306809928
CLG0074,100,8.14,7.65,3,No,7,8,0,No,587311.5291868699
CLG0019,96,9.68,9.19,1,Yes,10,4,0,No,631559.4235040385
CLG0051,78,6.5,6.54,8,Yes,2,9,0,No,495093.34954262385
CLG0008,93,6.8,6.74,4,No,5,4,4,No,522471.27171362564
CLG0048,94,8.59,8.54,2,No,6,2,5,No,601882.4538202877
CLG0012,87,8.06,7.96,5,No,3,6,5,No,579553.5809902567
CLG0070,97,5.89,6.31,4,No,9,9,4,No,514149.83127848594
CLG0035,106,6.88,6.74,1,Yes,6,7,1,No,577639.6068228295
CLG0070,128,7.34,7.7,7,No,8,1,0,No,630799.5511558636
CLG0006,102,7.1,7.5,4,No,5,9,4,No,575832.4349450712
CLG0099,103,5.89,5.89,8,Yes,1,6,2,No,506061.1204898523
CLG0011,98,9.62,9.57,9,No,5,9,5,Yes,671695.5739273146
CLG0038,71,8.81,9.07,8,Yes,2,2,5,No,600166.1620075888
CLG0091,99,7.41,7.62,1,No,6,7,0,No,567165.7182269373
CLG0026,100,8.4,8.23,8,Yes,2,8,2,Yes,627765.7626613767
CLG0028,136,9.49,9.09,5,No,7,8,3,Yes,730590.3858291182
CLG0072,97,5.68,5.44,1,Yes,10,5,1,No,463900.8376053835
CLG0089,104,6.25,5.88,9,Yes,10,7,3,No,492267.10561519116
CLG0083,99,7.71,7.5,9,No,4,7,1,No,568351.3149726929
CLG0080,82,9.0,8.76,7,No,2,3,0,No,589103.3027748051
CLG0050,117,5.18,5.32,7,No,0,2,5,No,508940.1331974379
CLG0058,111,9.92,10.37,1,No,4,5,1,No,750895.4324036334
CLG0026,111,7.27,7.46,9,No,9,4,4,No,614637.649563552
CLG0044,86,6.8,7.23,1,Yes,9,8,2,No,525133.1455195671
CLG0015,121,6.46,6.74,7,No,10,5,5,No,567030.8437962643
CLG0076,78,5.87,6.1,9,No,2,9,4,No,459913.6001182972
CLG0024,108,8.96,8.87,9,No,3,7,0,No,670408.2358030733
CLG0077,132,9.78,9.6,5,No,9,1,3,Yes,749552.6721940202
CLG0059,85,7.07,7.42,6,No,3,2,2,No,550687.5460291222
CLG0057,91,9.76,10.17,2,No,2,8,0,No,695748.7922855059
CLG0017,101,9.12,9.07,2,No,5,10,4,Yes,653337.1757492385
CLG0077,92,7.41,6.92,10,No,5,8,4,No,523600.16232643515
CLG0081,76,8.37,8.66,9,No,0,2,1,No,592021.332860208
CLG0001,101,7.17,6.96,1,No,3,7,1,No,561689.257301468
CLG0011,84,7.79,7.3,10,Yes,0,8,3,No,542443.3950634369
CLG0020,107,5.29,5.59,5,Yes,6,4,1,No,484591.3827263687
CLG0031,86,8.48,8.5,7,No,6,3,1,No,594967.0168101239
CLG0099,123,5.26,5.45,10,Yes,5,10,1,No,509327.99460047216
CLG0039,88,9.09,9.5,6,No,10,9,3,Yes,664830.6923760567
CLG0063,95,9.12,9.16,6,No,1,2,0,No,643018.9306633786
CLG0006,112,6.19,6.19,6,No,3,3,5,No,548486.3646318314
CLG0099,81,6.62,6.41,8,No,2,8,2,No,497881.5499778783
CLG0028,103,7.41,7.22,7,Yes,10,2,0,No,564843.9587185553
CLG0051,119,7.98,8.28,5,No,7,5,5,Yes,633393.7169459581
CLG0053,75,6.44,6.39,10,No,1,10,5,No,457031.3036101588
CLG0044,102,7.96,7.62,2,Yes,9,8,0,No,571993.1960692737
CLG0065,103,6.49,6.08,10,No,1,7,0,No,509992.1950633745
CLG0080,111,5.28,5.25,6,Yes,0,4,4,No,487899.5440796531
CLG0012,81,5.01,4.97,10,No,8,10,2,No,398052.0181320354
CLG0028,80,5.51,5.66,5,No,2,9,2,No,446853.0171404569
CLG0079,107,8.96,8.93,4,Yes,7,2,4,No,672497.6023460065
CLG0072,104,9.81,9.45,10,No,6,7,5,No,672606.8129770528
CLG0068,103,7.13,7.14,5,No,0,7,4,No,556479.8761502376
CLG0095,105,7.56,7.97,9,No,10,7,5,No,606129.1417761007
CLG0030,89,5.73,5.39,2,Yes,5,7,1,No,459138.7918084961
CLG0035,103,7.76,7.95,6,No,7,5,4,No,600408.8701330626
CLG0006,104,5.72,5.81,9,No,5,1,3,No,499238.0824259134
CLG0085,89,8.06,8.31,10,No,8,4,4,No,581388.8084169612
CLG0030,127,9.67,9.32,5,Yes,9,5,1,No,732443.462236304
CLG0080,107,5.98,6.42,6,No,2,10,4,No,519423.8798373272
CLG0063,82,8.82,8.94,10,No,5,4,3,No,598962.0755162212
CLG0008,109,5.12,5.47,4,Yes,9,7,4,No,496317.56993530516
CLG0091,85,6.88,6.63,5,No,3,2,5,No,486387.4029876768
CLG0033,111,5.55,5.79,8,No,9,2,0,No,506630.4218102837
CLG0043,117,6.76,7.04,1,Yes,2,2,2,No,569101.9966198681
CLG0076,87,5.87,5.77,1,Yes,7,10,3,No,456738.7674723406
CLG0043,114,6.87,6.75,10,Yes,6,3,3,No,553320.5378886507
CLG0045,106,7.09,7.25,4,Yes,6,5,3,No,587335.5804958652
CLG0087,112,6.5,6.09,10,Yes,4,10,5,Yes,523587.16041826026
CLG0054,128,8.28,8.52,3,Yes,0,9,0,Yes,670310.9775516761
CLG0065,96,9.59,9.13,5,Yes,5,3,0,No,642142.3325608039
CLG0007,88,7.0,6.69,10,Yes,5,6,2,No,504204.52952295204
CLG0036,86,5.96,6.12,8,Yes,2,6,1,No,481162.33520157053
CLG0025,87,6.35,5.95,1,No,4,6,2,No,480725.28164392925
CLG0085,98,9.27,9.74,5,No,8,5,3,No,679492.013312553
CLG0037,105,7.86,8.23,5,No,6,2,3,No,622150.3505539828
CLG0012,104,7.28,7.41,2,Yes,7,1,3,No,557930.671539787
CLG0032,112,5.75,6.07,5,Yes,8,5,2,No,525392.2218208351
CLG0049,100,7.25,7.64,8,Yes,5,8,1,No,575775.490982161
CLG0038,121,6.39,6.15,10,Yes,4,10,1,No,540067.3751526509
CLG0056,96,9.72,10.07,7,No,9,5,2,No,686285.2664543742
CLG0080,140,9.42,9.11,2,No,4,3,5,Yes,727558.1555242921
CLG0065,109,5.42,5.33,6,Yes,4,3,3,No,476482.6374957482
CLG0026,87,7.58,7.64,10,No,3,2,2,No,544953.3286181564
CLG0057,83,6.13,6.34,1,No,1,7,2,No,484312.53678900335
CLG0014,107,7.05,6.58,10,No,6,2,4,No,558959.0647907786
CLG0056,96,9.38,9.17,10,Yes,6,6,4,No,655896.1172184089
CLG0070,110,7.64,7.75,3,Yes,7,8,0,No,591604.9501260658
CLG0041,107,6.67,6.53,6,No,7,8,0,No,506266.0423947942
CLG0051,98,6.04,6.32,9,Yes,10,2,2,No,506499.563744593
CLG0084,87,9.0,9.15,1,No,7,6,4,No,624631.6702979715
CLG0067,77,8.12,7.85,6,Yes,8,3,3,No,545735.2568745263
CLG0012,93,7.34,6.99,2,Yes,5,9,0,No,535728.9240797277
CLG0097,112,6.09,6.22,9,Yes,3,3,3,No,540605.022110106
CLG0049,103,6.67,6.62,2,Yes,1,1,3,No,534285.6501628493
CLG0001,81,9.8,9.47,3,No,4,9,0,No,640103.9800123866
CLG0019,102,7.6,7.43,2,Yes,5,8,5,No,573278.9347679414
CLG0066,105,7.0,6.8,4,Yes,6,2,2,No,545256.376126767
CLG0058,86,7.61,7.22,4,No,5,10,4,No,535981.3649302279
CLG0087,102,8.89,8.94,10,Yes,3,10,0,No,644393.3120987292
CLG0072,100,6.7,6.96,1,Yes,3,3,1,No,550211.4912719848
CLG0098,82,5.89,5.97,8,Yes,6,7,1,No,460593.3606198871
CLG0004,105,7.92,8.25,5,Yes,0,6,3,No,615440.6232443887
CLG0008,108,8.33,7.96,8,No,2,8,1,No,618390.3178210381
CLG0027,116,8.56,8.5,6,Yes,9,10,3,Yes,650605.3681890697
CLG0026,115,9.41,9.52,2,No,1,5,5,Yes,713327.1724117118
CLG0097,79,6.86,7.04,7,No,1,5,5,No,493658.06368454196
CLG0043,85,5.38,5.58,10,No,6,2,5,No,439903.9057080277
CLG0040,107,9.79,10.02,9,No,4,6,5,No,714376.1734489597
CLG0050,107,7.18,7.33,7,Yes,2,5,5,No,584084.5926671332
CLG0067,107,8.12,7.71,5,No,8,9,4,No,598414.9292006152
CLG0073,157,8.33,8.53,4,No,8,3,0,No,742922.5420968593
CLG0074,108,7.73,7.95,8,No,2,5,0,No,619486.7399551675
CLG0029,117,6.03,6.52,6,No,1,3,4,No,564733.2652343718
CLG0085,114,8.78,8.97,5,Yes,2,9,3,Yes,664354.1882365016
CLG0042,109,9.02,9.21,7,Yes,8,9,5,Yes,688627.0675424638
CLG0018,95,7.76,7.77,3,Yes,7,10,2,No,578938.458624203
CLG0081,111,7.44,7.81,9,No,2,7,1,No,606047.4476172328
CLG0021,88,5.57,6.07,4,No,3,1,5,No,472846.4058941258
CLG0067,96,5.42,5.7,4,No,4,9,4,No,472081.2981142469
CLG0062,92,6.7,6.81,8,No,3,9,1,No,542388.7144014311
CLG0027,101,6.55,6.13,6,Yes,10,10,2,No,514655.4003557603
CLG0096,134,9.77,10.0,1,Yes,1,5,3,Yes,775372.2840718648
CLG0093,71,8.92,9.13,2,No,10,2,5,No,605669.7197114181
CLG0047,110,8.3,8.58,9,No,8,1,1,No,652119.5257364513
CLG0093,75,7.59,7.21,6,No,1,2,3,No,524591.7566636273
CLG0026,92,5.84,5.99,7,Yes,4,4,5,No,457889.2249619896
CLG0009,116,9.89,9.69,9,No,10,4,2,Yes,712154.6129896721
CLG0091,100,6.88,7.14,3,Yes,8,1,3,No,552297.4911838495
CLG0012,83,5.53,5.27,5,Yes,7,8,2,No,441030.45414650295
CLG0016,89,7.47,7.65,5,Yes,0,10,0,No,556997.6653541946
CLG0047,110,9.37,9.16,10,No,2,8,1,No,686289.8286057399
CLG0056,89,9.44,8.95,7,Yes,9,8,1,No,632359.2652882568
CLG0066,103,5.05,5.18,2,Yes,8,5,2,No,455485.9298660825
CLG0051,100,9.43,9.04,4,No,2,10,2,Yes,653827.5479881809
CLG0027,90,6.36,6.52,4,No,10,2,4,No,507867.18791127903
CLG0073,132,5.19,5.62,8,Yes,3,4,2,No,552709.7118543459
CLG0066,109,9.24,9.71,10,Yes,2,1,2,No,718842.3434391326
CLG0062,69,9.32,9.06,3,No,6,10,3,Yes,598420.431407792
CLG0071,102,7.98,8.29,2,No,8,1,3,No,605691.4680562656
CLG0008,90,7.87,7.72,9,No,3,10,1,No,571663.2374707429
CLG0038,112,9.07,9.47,4,No,8,3,3,Yes,710359.8722531198
CLG0006,88,8.93,9.22,9,Yes,1,4,3,No,626847.6715468727
CLG0059,98,9.45,9.02,6,No,1,3,1,No,672212.6807766639
CLG0019,107,7.76,7.67,1,No,8,3,5,No,595572.678768699
CLG0079,112,9.84,9.68,3,No,6,8,0,Yes,709571.784197905
CLG0056,81,9.98,10.27,7,No,4,4,4,No,681029.3661072983
CLG0028,94,5.58,5.49,9,Yes,4,3,3,No,484399.10934466566
CLG0094,92,9.25,9.43,8,Yes,8,9,0,No,652791.6545268315
CLG0091,90,7.5,7.6,5,Yes,10,1,4,No,567429.2040554136
CLG0010,126,6.94,7.42,8,Yes,3,8,1,No,630003.173040583
CLG0045,106,8.07,8.51,2,No,10,5,3,No,658335.3574126717
CLG0095,81,5.28,5.21,3,No,0,8,5,No,415408.1902764057
CLG0065,113,7.53,7.75,8,No,5,10,3,Yes,624974.0291408937
CLG0050,131,9.35,9.68,9,Yes,2,3,2,Yes,747967.5191524399
CLG0032,115,6.07,6.47,10,No,1,6,3,No,549543.9951806857
CLG0061,77,7.13,6.7,8,Yes,3,7,3,No,484507.0362056094
CLG0016,92,9.7,9.5,4,Yes,8,8,0,No,656601.1875485468
CLG0006,119,7.14,6.96,6,No,7,7,0,No,585178.7939147956
CLG0066,89,6.79,6.72,5,Yes,6,7,3,No,523798.8489326049
CLG0062,106,7.2,6.87,4,No,1,2,5,No,539844.9557530326
CLG0066,111,7.6,7.6,9,Yes,0,3,4,No,599879.4657142898
CLG0067,86,8.16,8.32,10,No,6,6,1,No,597588.7809999366
CLG0019,99,9.0,9.0,3,No,9,3,5,No,645938.356016434
CLG0004,51,7.26,7.43,1,No,4,9,0,No,462663.98561808927
CLG0043,84,9.09,8.66,7,No,10,9,5,Yes,577817.9225293555
CLG0018,96,7.67,8.05,10,Yes,7,6,5,No,587504.5521830217
CLG0082,81,6.69,7.13,8,Yes,4,1,4,No,512538.5314344872
CLG0046,124,8.29,8.41,3,No,9,1,5,Yes,673339.716205424
CLG0046,78,8.59,8.97,3,No,4,4,3,No,597166.3648569271
CLG0085,93,7.79,7.42,6,No,7,10,2,No,539472.2302777265
CLG0021,101,5.28,5.58,2,No,8,8,0,No,482927.612997524
CLG0030,121,5.85,5.47,6,No,1,3,5,No,522086.2307647789
CLG0064,78,6.43,6.34,5,No,7,4,0,No,489489.32404007966
CLG0041,117,6.41,6.23,7,No,6,6,2,No,536227.9913457762
CLG0017,100,8.37,8.46,9,No,7,9,3,Yes,618501.3285381133
CLG0005,85,5.09,4.89,9,No,2,4,0,No,430595.60692823323
CLG0005,106,8.78,8.92,1,No,3,3,3,No,654861.4579105792
CLG0073,102,6.33,6.2,7,No,6,10,4,No,509035.63214472914
CLG0075,90,6.55,6.91,3,No,4,10,0,No,506222.124409523
CLG0048,101,7.64,7.77,4,Yes,6,9,3,No,571376.2075021532
CLG0078,94,6.08,5.8,2,Yes,5,7,4,No,477843.0766095455
CLG0038,101,9.42,9.26,1,No,3,9,5,Yes,657846.9027084323
CLG0006,109,5.43,5.78,10,Yes,1,10,0,No,525842.8678077429
CLG0058,123,7.22,7.11,3,Yes,5,6,1,No,603369.6406502656
CLG0014,81,9.25,9.29,10,No,5,4,3,No,627474.1358930934
CLG0072,131,8.08,8.23,9,No,5,5,4,Yes,672941.4489087531
CLG0094,70,6.46,6.31,1,Yes,0,10,5,No,453537.5957128051
CLG0059,97,7.1,6.89,3,No,5,2,1,No,533606.7681460996
CLG0065,108,8.53,8.51,5,Yes,1,3,3,No,664252.0877524035
CLG0089,104,9.87,9.58,3,No,9,5,0,No,686315.2627786729
CLG0013,90,9.47,9.25,4,No,4,3,5,No,636967.3028932272
CLG0027,96,6.71,6.27,4,No,6,3,3,No,507093.6458327565
CLG0025,92,9.99,9.79,1,Yes,9,9,4,Yes,676296.3836240447
CLG0056,91,5.02,4.84,6,Yes,0,4,0,No,408556.1671088317
CLG0068,112,5.14,5.6,7,Yes,4,4,0,No,506437.4029839105
CLG0059,105,9.12,9.21,7,Yes,8,1,5,No,665443.6087694411
CLG0095,89,6.0,6.29,6,No,2,7,0,No,496602.4491681527
CLG0049,113,5.3,4.85,7,No,1,10,2,Yes,482787.59486533335
CLG0018,104,6.19,5.8,3,Yes,9,9,4,No,509255.34561090404
CLG0081,112,7.13,7.44,5,Yes,1,8,1,No,588568.3134001957
CLG0075,109,8.65,8.77,7,Yes,2,2,0,No,639916.7952932798
CLG0076,87,8.12,7.81,10,No,0,6,4,No,579771.8237086941
CLG0003,91,6.19,6.09,5,Yes,1,10,2,No,477063.83898407314
CLG0079,111,7.52,7.56,10,Yes,5,10,2,Yes,611076.8282681946
CLG0057,109,9.63,9.97,2,Yes,7,5,5,No,724667.6222096878
CLG0006,99,9.08,8.64,6,No,3,8,0,No,639179.3249530519
CLG0069,101,6.62,6.72,7,Yes,1,1,4,No,525901.5496875632
CLG0031,119,9.91,10.13,2,No,4,9,2,Yes,752482.8778113109
CLG0008,91,8.54,9.02,10,No,2,9,0,No,620726.6167453398
CLG0010,108,5.31,5.62,8,Yes,4,7,5,No,511045.7405945492
CLG0003,96,5.18,4.96,5,Yes,2,8,3,No,430475.34450347186
CLG0012,96,5.84,6.05,8,No,10,9,3,No,495397.8886959897
CLG0092,116,8.64,8.9,3,No,3,5,3,Yes,671572.5165568682
CLG0076,112,5.92,6.15,2,Yes,4,2,1,No,529828.181298257
CLG0094,112,7.56,7.88,7,Yes,6,1,4,No,611135.9500564983
CLG0019,119,5.47,5.87,5,Yes,1,5,5,No,548282.3332537962
CLG0021,100,9.6,9.2,5,No,5,8,3,Yes,651415.0402102283
CLG0081,110,6.72,6.32,8,No,5,10,2,No,528550.0764348855
CLG0014,95,9.54,9.84,9,No,5,4,1,No,664467.4979235579
CLG0075,104,9.72,9.47,8,Yes,6,4,3,No,669444.7968654109
CLG0029,98,5.03,4.59,10,No,10,4,0,No,438196.63277338556
CLG0007,101,7.32,7.22,2,No,2,8,2,No,534889.6419077815
CLG0049,108,5.12,5.44,10,Yes,4,7,1,No,469883.8503417768
CLG0065,87,9.54,9.17,7,No,8,1,1,No,614242.1205978929
CLG0007,131,7.59,7.76,5,No,8,10,2,Yes,639095.7659583585
CLG0014,84,5.37,4.87,7,Yes,6,6,3,No,414491.9706689804
CLG0016,81,5.55,5.16,3,Yes,8,4,5,No,421999.55575138575
CLG0099,117,6.92,6.77,4,Yes,2,2,5,No,560755.5473643976
CLG0016,111,9.7,9.28,7,No,6,3,0,No,675865.0816038648
CLG0085,109,8.46,8.81,2,No,0,4,0,No,666939.2359183053
CLG0013,109,9.34,9.7,2,No,6,10,5,Yes,693273.7855398651
CLG0082,99,6.83,7.09,1,Yes,2,7,5,No,542704.8606672076
CLG0029,86,5.22,4.96,1,No,2,1,0,No,409934.48067949363
CLG0085,101,9.87,9.89,1,Yes,6,1,1,No,704817.3846075336
CLG0073,89,5.09,4.77,6,Yes,7,3,3,No,417063.9078701715
CLG0095,114,9.74,9.52,5,Yes,3,2,5,Yes,707793.3927021942
CLG0061,97,6.84,6.86,10,Yes,0,3,5,No,525363.6185401786
CLG0037,87,5.05,5.29,8,No,4,3,2,No,438339.0466520063
CLG0017,95,8.45,8.04,5,Yes,9,1,4,No,585250.7490520461
CLG0031,106,9.9,9.7,1,Yes,3,6,0,No,703299.3808948209
CLG0059,91,9.83,10.26,8,No,8,8,2,Yes,702359.1312679168
CLG0088,87,5.8,5.73,6,No,2,5,5,No,447683.6233284161
CLG0047,103,5.91,6.35,8,Yes,3,1,5,No,546012.7136453546
CLG0006,103,7.83,8.32,2,Yes,9,10,2,Yes,617361.109506595
CLG0032,92,8.19,8.22,10,Yes,2,7,5,No,597656.1597165352
CLG0031,92,8.7,8.49,8,No,2,10,0,No,601156.6518325284
CLG0018,103,5.91,6.2,6,No,6,9,4,No,512396.89325250196
CLG0009,78,9.8,9.46,1,No,4,7,1,No,629230.1152192168
CLG0003,78,8.19,7.94,1,Yes,4,9,1,No,549730.2820239536
CLG0071,89,9.24,9.52,10,No,3,10,3,Yes,652448.8532512438
CLG0026,96,7.7,7.63,5,No,9,9,5,No,565101.3084806646
CLG0013,104,7.07,6.77,7,Yes,7,2,1,No,541591.052857484
CLG0034,122,9.89,10.04,4,No,0,8,2,Yes,755105.4527402312
CLG0043,112,7.91,8.14,10,No,10,7,1,No,634059.325046131
CLG0093,97,9.33,8.96,5,No,8,7,3,No,633823.9449279465
CLG0033,99,9.77,9.55,10,No,10,2,2,No,647491.2755231112
CLG0069,84,8.38,8.1,3,No,8,1,2,No,591672.6241603652
CLG0036,99,7.74,7.62,2,No,10,4,4,No,584359.1324361295
CLG0079,95,5.02,5.28,2,No,4,7,5,No,446869.9978518992
CLG0074,104,5.2,5.41,5,No,0,6,0,No,475482.80845519534
CLG0068,87,6.0,6.16,4,Yes,1,10,0,No,485335.67740428884
CLG0047,107,5.93,5.44,2,No,1,2,0,No,493804.3596962609
CLG0061,122,6.27,5.91,5,Yes,5,7,3,No,539363.304380306
CLG0045,98,6.52,6.24,10,Yes,9,10,1,No,496942.03348116786
CLG0096,106,6.8,6.57,9,No,8,9,0,No,561502.7053588971
CLG0088,110,7.1,6.75,8,No,2,2,1,No,553550.4863591576
CLG0084,93,5.49,5.4,9,No,7,10,0,No,461174.879253743
CLG0048,103,5.21,4.79,9,No,1,5,4,No,426240.2176543215
CLG0041,100,8.37,8.62,8,No,4,2,1,No,633469.4308982253
CLG0038,101,7.69,7.98,9,No,3,1,3,No,594218.0836183189
CLG0068,88,7.22,7.29,4,No,4,7,5,No,533972.8115353142
CLG0075,100,8.17,7.76,8,Yes,3,2,5,No,578560.5261880682
CLG0011,107,9.14,9.53,2,No,0,6,3,No,695604.9665269975
CLG0016,121,7.14,7.61,9,No,0,7,1,No,617475.1330654257
